"id","compname","partid","partname","layers","sca.x","sca.y","sca.z","trn.x","trn.y","trn.z","rot.11","rot.12","rot.13","rot.21","rot.22","rot.23","rot.31","rot.32","rot.33"
1600,"7mm motor mount-1",100,"7mm motor mount","cf//staticprop",1,1,1,-26.24776,26.24641,-6.875,1,0,0,0,1,0,0,0,1
1100,"7mm motor mount-2",100,"7mm motor mount","cf//staticprop",1,1,1,26.2464,26.24766,-6.875,0,1,0,-1,0,0,0,0,1
100,"7mm motor mount-3",100,"7mm motor mount","cf//staticprop",1,1,1,26.24765,-26.24648,-6.875,-1,0,0,0,-1,0,0,0,1
200,"7mm motor mount-4",100,"7mm motor mount","cf//staticprop",1,1,1,-26.24651,-26.24773,-6.875,0,-1,0,1,0,0,0,0,1
500,"7x15 motor-1",200,"7x15 motor","cf//staticprop",1,1,1,-31.64188,31.64269,3.375,-0.8962,-0.4436,0,0.4436,-0.8962,0,0,0,1
300,"7x15 motor-2",200,"7x15 motor","cf//staticprop",1,1,1,31.64161,31.64212,3.375,-0.9832,-0.1828,0,0.1828,-0.9832,0,0,0,1
600,"7x15 motor-3",200,"7x15 motor","cf//staticprop",1,1,1,31.64152,-31.64218,3.375,-0.2678,-0.9635,0,0.9635,-0.2678,0,0,0,1
400,"7x15 motor-4",200,"7x15 motor","cf//staticprop",1,1,1,-31.6432,-31.64307,3.375,-0.1534,-0.9882,0,0.9882,-0.1534,0,0,0,1
1700,"battery bc-bl-01-a-1",300,"battery bc-bl-01-a","cf//staticprop",1,1,1,0,-0.728,2.875,-1,0,0,0,-1,0,0,0,1
1300,"battery holder board-1",400,"battery holder board","cf//staticprop",1,1,1,-0.001,0,6.65,-1,0,0,0,1,0,0,0,-1
1400,"header-1",500,"header","cf//staticprop",1,1,1,0,10.385,2.995,-1,0,0,0,-1,0,0,0,1
1200,"header-2",500,"header","cf//staticprop",1,1,1,0,-10.385,2.995,-1,0,0,0,-1,0,0,0,1
1500,"pcb-1",600,"pcb","cf//staticprop",1,1,1,0,0,0,1,0,0,0,1,0,0,0,1
700,"propeller_ccw-1",700,"propeller_ccw","cf//base",1,1,1,-31.64311,31.643,11.62496,-1,0,0,0,-1,0,0,0,1
800,"propeller_ccw-2",700,"propeller_ccw","cf//base",1,1,1,31.64333,-31.64238,11.62496,-0.9941,-0.1084,0,0.1084,-0.9941,0,0,0,1
900,"propeller_cw-1",800,"propeller_cw","cf//base",1,1,1,-31.64441,-31.64172,11.62496,0.4501,-0.893,0,0.893,0.4501,0,0,0,1
1000,"propeller_cw-2",800,"propeller_cw","cf//base",1,1,1,31.64393,31.64456,11.62496,-0.6972,0.7168,0,-0.7168,-0.6972,0,0,0,1
